Nom_de_la_gare;Code_postal;depart;Total_frequentation_2020;Total_frequentation_2019;Total_frequentation_2018;Total_frequentation_2017;Total_frequentation_2016;Total_frequentation_2015
Ablon-sur-Seine;94480;94;797009;1457253;1462108;1471462;1453063;1427319
Aéroport Charles de Gaulle 2 TGV;95700;95;7770624;15484328;15155766;14898232;13747460;13180740
Agay;83530;83;15390;22284;15093;14154;19240;19121
Agde;34300;34;492975;677860;735372;871364;825820;828146
Agonac;24460;24;3271;2538;1492;1583;1134;1127
Aiguebelle;73220;73;62936;80418;76441;77759;69078;67365
Aimargues;30470;30;3752;1034;445;230;159;86
Aix-les-Bains le Revard;73100;73;1236162;1893845;1609468;1713011;1619647;1624127
Albi;81000;81;358781;519537;460184;541024;490814;516090
Alençon;61000;61;291213;500276;462758;510863;491412;543251
Allassac;19240;19;15856;23411;18504;16670;14697;16854
Alouette France;33600;33;231636;379203;283035;258716;231359;239759
Ambazac;87240;87;25184;27893;25961;30597;31750;34127
Amilly Ouerray;28300;28;24910;26442;23309;23907;25333;23290
Amplepuis;69550;69;257831;396420;345515;397295;372581;361664
Anché - Voulon;86700;86;7457;9770;8847;9727;11143;13583
Angers Maître École;49000;49;18317;23126;16070;12708;12663;16649
Arcachon;33120;33;965652;1357418;1134798;1137993;991196;1006452
Arches;88380;88;40349;64056;51087;53916;52117;58746
Arenc Euroméditerranée;13007;13;35506;56897;42045;19702;15652;20319
Argentan;61200;61;219503;368363;343060;372634;364748;387799
Arles;13200;13;505022;972262;910613;1007160;953887;969716
Arnèke;59285;59;108883;159773;150582;157975;155262;147483
Artix;64170;64;30597;42665;33858;40928;38017;41904
Ascq;59650;59;9877;16603;18741;17590;14407;14630
Aubazines - Saint-Hilaire;19190;19;5011;8137;6662;8054;7895;8467
Aubiat;63260;63;5053;8809;7945;6420;4849;4419
Aubigny-au-Bac;59265;59;25519;50636;44209;47944;49293;52267
Auboué;54580;54;1568;2608;1839;2186;3420;4747
Auffay;76720;76;199471;268491;246409;235795;233186;247195
Aulnay-sous-Bois;93600;93;13389057;24479374;24831698;24926269;24327097;23726233
Avesnes-sur-Helpe;59440;59;139440;213490;191697;207153;200795;226339
Avrechy;60130;60;3772;5073;6801;6887;6980;7219
Aytré Plage;17440;17;7205;11310;9352;11792;12485;13118
Babinière;44240;44;34528;65168;93097;114818;107295;96983
Baccarat;54120;54;108566;160508;146052;161851;167642;181420
Bagneaux-sur-Loing;77167;77;16051;29663;57849;114246;223786;439600
Baillargues;34670;34;166854;188711;156311;174582;146538;127626
Bains-les-Bains;88240;88;1965;2801;2384;3047;3918;4001
Ballancourt-sur-Essonne;91610;91;265484;485406;498440;515230;521401;525543
Ballan-Miré;37510;37;28881;44366;38016;36096;33804;38356
Bandol;83150;83;275219;406146;380402;426078;394520;383255
Bantzenheim;68490;68;4662;7285;8034;9423;10091;10914
Batz-sur-Mer;44740;44;11761;15922;12216;11675;9851;8915
Bayard;52170;52;193;981;2074;1296;1730;2037
Bayonne;64100;64;742168;1065319;931467;1012545;899855;942793
Baziège;31450;31;52111;55961;50573;68316;67474;74680
Beaucaire;30300;30;17161;6521;7446;9383;8729;9525
Beaumont-le-Roger;27170;27;6269;12520;13543;14013;12102;12389
Beautiran;33640;33;236712;343921;294931;275980;252580;223526
Bellac;87300;87;16307;26216;23075;34347;36090;32527
Bellegarde-sur-Valserine;01200;1;969052;1632078;1439345;1690035;1698813;1773757
Belleville;54940;54;17494;25006;23040;28306;28504;28800
Belz - Ploemel;56550;56;1375;1586;1127;450;1078;1187
Bena Fanes;66760;66;23;78;33;4;10;2
Bergerac;24100;24;249033;231789;339295;371690;343754;361849
Berlaimont;59145;59;8730;19722;17711;18551;15493;19691
Bersac-sur-Rivalier;87370;87;3064;4347;4566;5126;5404;4818
Bertrichamps;54120;54;3434;3894;3502;3521;4560;5641
Besançon Franche-Comté TGV;25870;25;397413;747106;729140;809837;776023;783470
Besançon Mouillère;25000;25;65449;100998;95171;115096;104326;120887
Béthune;62400;62;1418482;2298296;2180644;2306104;2219957;2284929
Bigny;18190;18;79;358;1061;1996;1920;2098
Bischheim;67800;67;32597;52507;46267;45637;47310;43357
Bitschwiller-lès-Thann;68620;68;29187;36084;32939;35640;33589;37642
Blainville - Damelevières;54360;54;222109;314225;307683;330346;348991;369727
Blanzy;71450;71;21322;13853;7317;6130;5586;7439
Bléré - La Croix;37150;37;127337;182004;174670;173976;159769;160351
Bollène La Croisière;84500;84;87212;134248;115731;136888;129801;142446
Bondy;93140;93;6877262;12574385;12799616;13024968;13017323;12955985
Bonson;42160;42;36464;66667;57138;59067;55706;64674
Bordeaux Saint-Jean;33800;33;13980117;22094568;20101236;18724123;15248003;15077923
Bouchain;59111;59;25002;37029;34644;36656;33428;32641
Bougival;78170;78;479553;876847;869907;869754;851846;811830
Boulazac;24750;24;0;0;0;0;0;0
Boulogne Tintelleries;62200;62;260656;393366;357726;383423;365365;383316
Bourbourg;59630;59;17061;20921;14818;15587;14627;10384
Bourgtheroulde - Thuit-Hébert;27520;27;5189;2424;1534;1717;2347;2591
Boussens;31360;31;156245;238072;209191;258391;217663;232257
Brebières;62117;62;66521;86470;81038;81110;79737;79692
Brélidy - Plouëc;22140;22;5021;4787;2925;1748;2270;2903
Bretenoux - Biars;46130;46;9375;15092;14024;16366;18328;21919
Breuil - Romain;51140;51;22209;19333;13976;13838;13118;23285
Briare;45250;45;30194;47148;43985;48170;45392;50561
Brou;28160;28;64559;80996;74844;76016;70824;74059
Bruz;35170;35;149123;207960;162636;150068;135118;132642
Bugeat;19170;19;4761;7502;5992;5810;5815;7142
Bussière-Galant;87230;87;12295;17746;15815;19077;21535;19921
Byans-sur-Doubs;25320;25;6415;5284;4466;8714;11428;11908
Caffiers;62132;62;1764;3196;2945;3274;5727;6298
Calais;62100;62;946969;1248299;1118979;1227921;1249149;1343647
Cambo-les-Bains;64250;64;6764;7449;4459;5754;7240;21789
Cambrai;59400;59;580709;871992;784322;859598;822387;835261
Campagnac - Saint-Geniez;12560;12;531;763;770;915;487;846
Cannes;06400;6;2898310;5155821;4434290;4878441;4380099;4514123
Capvern;65130;65;3388;3638;3673;6742;7984;8146
Carantilly - Marigny;50570;50;0;0;1403;1948;1404;1697
Carmaux;81400;81;62788;84973;76308;96438;89990;100213
Carnoët - Locarn;22160;22;2633;2557;3410;3273;3558;2918
Carpentras;84000;84;163728;313857;313065;356186;257686;149254
Castres;81100;81;112879;162664;156874;224526;218628;245844
Caudéran Mérignac;33700;33;38370;72314;55965;60107;40743;47128
Chamelet;69620;69;6775;13321;9539;8453;12411;11419
Champagné;72470;72;14192;22836;20618;26741;34654;40979
Chanac;48230;48;64;222;547;612;606;743
Changis - Saint-Jean;77660;77;165586;302651;308219;317021;318892;318992
Chanteloup-les-Vignes;78570;78;393734;719119;757040;796777;823290;838046
Chantilly - Gouvieux;60500;60;2117570;3349698;3034233;3254320;3126163;3026896
Chapeauroux;48600;48;611;707;500;500;464;311
